,*,1,2,3,4,5,**,wb,eta,pot_elec
252,[,1.0365,1.0365,1.0365,1.0365,1.0365,],-1.0,1.0,-0.0911894
253,[,1.0351,1.0351,1.0351,1.0351,1.0351,],-1.0,1.0,-0.0878599
254,[,1.0339,1.0339,1.0339,1.0339,1.0339,],-1.0,1.0,-0.0846519
255,[,1.0326,1.0326,1.0326,1.0326,1.0326,],-1.0,1.0,-0.0815612
256,[,1.0314,1.0314,1.0314,1.0314,1.0314,],-1.0,1.0,-0.0785834
257,[,1.0303,1.0303,1.0303,1.0303,1.0303,],-1.0,1.0,-0.0757144
258,[,1.0292,1.0292,1.0292,1.0292,1.0292,],-1.0,1.0,-0.0729501
259,[,1.0281,1.0281,1.0281,1.0281,1.0281,],-1.0,1.0,-0.0702868
260,[,1.0271,1.0271,1.0271,1.0271,1.0271,],-1.0,1.0,-0.0677208
261,[,1.0261,1.0261,1.0261,1.0261,1.0261,],-1.0,1.0,-0.0652485
262,[,1.0251,1.0251,1.0251,1.0251,1.0251,],-1.0,1.0,-0.0628665
263,[,1.0242,1.0242,1.0242,1.0242,1.0242,],-1.0,1.0,-0.0605715
264,[,1.0233,1.0233,1.0233,1.0233,1.0233,],-1.0,1.0,-0.0583603
265,[,1.0225,1.0225,1.0225,1.0225,1.0225,],-1.0,1.0,-0.0562298
266,[,1.0217,1.0217,1.0217,1.0217,1.0217,],-1.0,1.0,-0.0541771
267,[,1.0209,1.0209,1.0209,1.0209,1.0209,],-1.0,1.0,-0.0521994
268,[,1.0201,1.0201,1.0201,1.0201,1.0201,],-1.0,1.0,-0.0502939
269,[,1.0194,1.0194,1.0194,1.0194,1.0194,],-1.0,1.0,-0.0484579
270,[,1.0187,1.0187,1.0187,1.0187,1.0187,],-1.0,1.0,-0.046689
271,[,1.018,1.018,1.018,1.018,1.018,],-1.0,1.0,-0.0449847
272,[,1.0173,1.0173,1.0173,1.0173,1.0173,],-1.0,1.0,-0.0433426
273,[,1.0167,1.0167,1.0167,1.0167,1.0167,],-1.0,1.0,-0.0417604
274,[,1.0161,1.0161,1.0161,1.0161,1.0161,],-1.0,1.0,-0.040236
275,[,1.0155,1.0155,1.0155,1.0155,1.0155,],-1.0,1.0,-0.0387673
276,[,1.0149,1.0149,1.0149,1.0149,1.0149,],-1.0,1.0,-0.0373522
277,[,1.0144,1.0144,1.0144,1.0144,1.0144,],-1.0,1.0,-0.0359887
278,[,1.0139,1.0139,1.0139,1.0139,1.0139,],-1.0,1.0,-0.0346751
279,[,1.0134,1.0134,1.0134,1.0134,1.0134,],-1.0,1.0,-0.0334093
280,[,1.0129,1.0129,1.0129,1.0129,1.0129,],-1.0,1.0,-0.0321898
281,[,1.0124,1.0124,1.0124,1.0124,1.0124,],-1.0,1.0,-0.0310148
282,[,1.012,1.012,1.012,1.012,1.012,],-1.0,1.0,-0.0298827
283,[,1.0115,1.0115,1.0115,1.0115,1.0115,],-1.0,1.0,-0.0287919
284,[,1.0111,1.0111,1.0111,1.0111,1.0111,],-1.0,1.0,-0.027741
285,[,1.0107,1.0107,1.0107,1.0107,1.0107,],-1.0,1.0,-0.0267284
286,[,1.0103,1.0103,1.0103,1.0103,1.0103,],-1.0,1.0,-0.0257528
287,[,1.0099,1.0099,1.0099,1.0099,1.0099,],-1.0,1.0,-0.0248127
288,[,1.0096,1.0096,1.0096,1.0096,1.0096,],-1.0,1.0,-0.023907
289,[,1.0092,1.0092,1.0092,1.0092,1.0092,],-1.0,1.0,-0.0230344
